127.0.0.1 - - [05/Aug/2018:20:29:04 -0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/ HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/css/cadastro.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/img/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/img/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/img/banner-medio2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/img/banner-medio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/%3C%=request.getContextPath()%%3E/resources/js/bootstrap.min.js HTTP/1.1" 400 1171
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/img/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:07 -0300] "GET /sistema.filmes/resources/img/c4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:08 -0300] "GET /sistema.filmes/resources/img/c5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:08 -0300] "GET /sistema.filmes/resources/img/c6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:08 -0300] "GET /sistema.filmes/resources/img/c7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:08 -0300] "GET /sistema.filmes/resources/img/c8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:08 -0300] "GET /sistema.filmes/resources/img/c9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:08 -0300] "GET /sistema.filmes/resources/img/c10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:08 -0300] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:25 -0300] "GET /sistema.filmes/cadastro.jsp HTTP/1.1" 200 5254
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:29:25 -0300] "GET /sistema.filmes/%3C%=request.getContextPath()%%3E/resources/js/bootstrap.min.js HTTP/1.1" 400 1171
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:05 -0300] "GET /sistema.filmes/cadastro.jsp HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:05 -0300] "GET /sistema.filmes/%3C%=request.getContextPath()%%3E/resources/js/bootstrap.min.js HTTP/1.1" 400 1171
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:05 -0300] "GET /sistema.filmes/%3C%=request.getContextPath()%%3E/resources/js/bootstrap.min.js HTTP/1.1" 400 1171
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:27 -0300] "GET /sistema.filmes/cadastro.jsp HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:27 -0300] "GET /sistema.filmes/%3C%=request.getContextPath()%%3E/resources/js/bootstrap.min.js HTTP/1.1" 400 1171
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:29 -0300] "GET /sistema.filmes/cadastro.jsp HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:29 -0300] "GET /sistema.filmes/resources/img/img2.png HTTP/1.1" 200 1814873
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:29 -0300] "GET /sistema.filmes/resources/css/cadastro.css HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:29 -0300] "GET /sistema.filmes/resources/css/footer.css HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:29 -0300] "GET /sistema.filmes/resources/css/menu.css HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:29 -0300] "GET /sistema.filmes/resources/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:29 -0300] "GET /sistema.filmes/resources/css/bootstrap.css HTTP/1.1" 200 173597
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:29 -0300] "GET /sistema.filmes/resources/img/banner-medio2.png HTTP/1.1" 200 661230
0:0:0:0:0:0:0:1 - - [05/Aug/2018:20:32:29 -0300] "GET /sistema.filmes/resources/img/banner-medio.png HTTP/1.1" 200 662799
